dataset,method,representation,classifier,seed,accuracy,n_features,encode_seconds,fit_seconds,predict_seconds,peak_mib,n_train,n_test,length,n_classes,error
ItalyPowerDemand,gasf-features,gaf,logreg,1,0.7988338192419825,662,21.47090099999332,0.030590000009397045,0.006846000003861263,11.171832084655762,67,1029,24,2,
ItalyPowerDemand,gasf-features,gaf,logreg,2,0.7988338192419825,662,16.925929799996084,0.024213299999246374,0.009415100008482113,11.170839309692383,67,1029,24,2,
ItalyPowerDemand,gadf-features,gadf,logreg,0,0.8075801749271136,662,17.13935300000594,0.02790600000298582,0.006485500023700297,11.17142105102539,67,1029,24,2,
ItalyPowerDemand,gadf-features,gadf,logreg,1,0.8075801749271136,662,17.100314500014065,0.029495199996745214,0.010429299989482388,11.170419692993164,67,1029,24,2,
ItalyPowerDemand,gadf-features,gadf,logreg,2,0.8075801749271136,662,14.289573600020958,0.018411199998809025,0.005409599980339408,11.171975135803223,67,1029,24,2,
ItalyPowerDemand,mtf-features,mtf,logreg,0,0.7414965986394558,662,17.61897520002094,0.025863299990305677,0.009863499988568947,11.171688079833984,67,1029,24,2,
ItalyPowerDemand,mtf-features,mtf,logreg,1,0.7414965986394558,662,17.418536800018046,0.024420600006124005,0.006902600027387962,11.171791076660156,67,1029,24,2,
ItalyPowerDemand,mtf-features,mtf,logreg,2,0.7414965986394558,662,17.422389099985594,0.02828820000286214,0.005913700006203726,11.171279907226562,67,1029,24,2,
ItalyPowerDemand,rp-features,rp,logreg,0,0.8279883381924198,662,16.98799599998165,0.029938299994682893,0.007273100025486201,11.172560691833496,67,1029,24,2,
ItalyPowerDemand,rp-features,rp,logreg,1,0.8279883381924198,662,20.1532140999916,0.032350099994800985,0.01089279999723658,11.170074462890625,67,1029,24,2,
ItalyPowerDemand,rp-features,rp,logreg,2,0.8279883381924198,662,19.16857200002414,0.03194879999500699,0.013020099984714761,11.171207427978516,67,1029,24,2,
ItalyPowerDemand,ablation-gaf-intensity-only,gaf,logreg,0,0.5811467444120505,6,0.3481076000025496,0.022204500011866912,0.002137500006938353,0.46826934814453125,67,1029,24,2,
